,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,R/Ohm,0.3252,0.1547,0.073283,-0.04732,-0.12048,-0.17804,-0.25759,-0.33586,-0.3789,-0.42898,-0.48574,-0.5373600000000001,-0.59255,-0.637,-0.68633,-0.74305,-0.7941199999999999,-0.84759,-0.90177,-0.9515,-0.99481,-1.0367,-1.0873,-1.1349,-1.1823,-1.22,-1.2578,-1.2917,-1.3263,-1.3676,-1.3993,-1.4371,-1.4714,-1.5023,-1.5273,-1.5531,-1.5651,-1.5685,-1.5622,-1.541,-1.4961,-1.4266,-1.3217,-1.1759,-0.99496,-0.79479,-0.5966899999999999,-0.41689,-0.27728,-0.18295,-0.11531,-0.05832200000000001,-0.047399,impedance,5.0805,5.1112,5.1238,5.1606,5.189,5.2492,5.2776,5.3385,5.3915,5.4456,5.5185,5.5935,5.6783,5.7559,5.8496,5.9606,6.064,6.1882,6.3078,6.4399,6.5832,6.7293,6.8933,7.0426,7.2215,7.3918,7.5706,7.7548,7.9425,8.1348,8.3375,8.5396,8.754,8.9702,9.195,9.4226,9.6419,9.8857,10.149,10.431,10.72,11.015,11.316,11.595999999999998,11.84,12.024,12.169,12.298,12.435,12.595,12.8,12.578,12.505999999999998
1,R/Ohm,0.34636,0.21162,0.099908,0.0017617000000000004,-0.082829,-0.15802,-0.22611,-0.28887,-0.34642,-0.40467,-0.45784,-0.50843,-0.55908,-0.61029,-0.66235,-0.71181,-0.76413,-0.8153699999999999,-0.8661,-0.93088,-0.98342,-1.0182,-1.0736,-1.1233,-1.1634,-1.1977,-1.2383,-1.2775,-1.3132,-1.3498,-1.3856,-1.4224,-1.4506,-1.4813,-1.51,-1.5359,-1.5532,-1.5530000000000002,-1.5525,-1.5319,-1.4906,-1.4302,-1.3319999999999999,-1.1929,-1.0144,-0.8164600000000001,-0.6129,-0.42555,-0.27801,-0.179,-0.11399,-0.060809,-0.045607,impedance,4.8127,4.8382,4.8682,4.9062,4.9425,4.9855,5.0347,5.0873,5.1481,5.216,5.2860000000000005,5.3634,5.4441,5.5321,5.6272,5.7318,5.8405,5.9636,6.0881,6.3379,6.4804,6.6329,6.7836,6.9547,7.112,7.2822,7.4633,7.6509,7.8421,8.033,8.2321,8.4369,8.6533,8.8707,9.0957,9.3233,9.5528,9.8051,10.072,10.352,10.645,10.944,11.249,11.529000000000002,11.767,11.953,12.087,12.169,12.204,12.275,12.521,12.527,12.449000000000002
2,R/Ohm,0.3246,0.17346,0.029198,-0.049483,-0.09552,-0.17615999999999998,-0.25366,-0.30337,-0.38436,-0.43878,-0.47577,-0.52369,-0.57248,-0.61905,-0.67571,-0.7094600000000001,-0.77669,-0.83006,-0.8820399999999999,-0.93753,-0.98462,-1.0568,-1.0781,-1.1146,-1.1586,-1.2159,-1.2525,-1.308,-1.3487,-1.3856,-1.4284,-1.4689,-1.5109,-1.5696,-1.5993,-1.6492,-1.666,-1.7382,-1.765,-1.7915,-1.8048,-1.8045,-1.7693,-1.6821,-1.5283,-1.3075,-1.0338,-0.74757,-0.50239,-0.32657,-0.21026,-0.11867,-0.083246,impedance,4.9292,4.9375,5.0077,5.0358,5.0453,5.106,5.1562,5.1878,5.2884,5.3087,5.4069,5.4849,5.5581,5.6472,5.7301,5.8452,5.9553,6.0693,6.1917,6.3321,6.471,6.62,6.7845,6.971,7.1287,7.2861,7.4718,7.6608,7.8628,8.0528,8.2432,8.466000000000001,8.6774,8.8913,9.1236,9.3564,9.5289,9.8378,10.131,10.445,10.777,11.143,11.536,11.939,12.335,12.693,12.961,13.138,13.253,13.398,13.702,13.803,13.55
3,R/Ohm,0.4095,0.26517,0.14786,0.042327,-0.046093,-0.11998,-0.19392,-0.25116,-0.3084,-0.36423,-0.41355,-0.4616,-0.50667,-0.5524,-0.59946,-0.6428699999999999,-0.6872199999999999,-0.73123,-0.7753899999999999,-0.81584,-0.8558,-0.8932100000000001,-0.92865,-0.96405,-0.99769,-1.0292,-1.0568,-1.0861,-1.1119,-1.136,-1.1572,-1.1756,-1.1895,-1.1985,-1.2006,-1.1976,-1.185,-1.1581,-1.12,-1.0653,-0.99109,-0.90168,-0.7935800000000001,-0.66837,-0.53608,-0.41315,-0.30115,-0.20651,-0.13295,-0.078731,-0.047104,-0.033015,-0.011838,impedance,4.3239,4.341,4.3669,4.3935,4.4238,4.4612,4.5044,4.5535,4.6052,4.6594,4.724,4.7914,4.8649,4.9441,5.0293,5.1215,5.2184,5.3249,5.4362,5.556,5.6809,5.8124,5.9486,6.0914,6.2396,6.3923,6.5496,6.7216,6.8893,7.0606,7.2362,7.4166,7.6016,7.7902,7.9821,8.1769,8.383,8.5921,8.8076,9.0282,9.2493,9.4566,9.6577,9.8387,9.9949,10.132,10.241,10.348,10.387,10.259,10.043,10.119,10.313
4,R/Ohm,0.3476,0.2096,0.11447,-0.0016155999999999998,-0.077175,-0.15661,-0.21812,-0.30173,-0.36483,-0.42803,-0.46739,-0.52484,-0.5705399999999999,-0.6128100000000001,-0.6725,-0.73085,-0.76991,-0.82788,-0.8795200000000001,-0.9325,-0.98398,-1.0109,-1.0753,-1.1407,-1.1679,-1.2065,-1.2514,-1.2892,-1.335,-1.3698,-1.4052,-1.4525,-1.4916,-1.5316,-1.5705,-1.6130000000000002,-1.6463,-1.6752,-1.7047,-1.7201,-1.72,-1.7005,-1.6403,-1.5309,-1.3626,-1.1453,-0.8936799999999999,-0.64426,-0.43449,-0.28518000000000004,-0.18286,-0.095571,-0.053555999999999986,impedance,4.9571,4.9729,5.0111,5.0449,5.0732,5.1202,5.1948,5.2262,5.3048,5.3408,5.4101,5.4837,5.5683,5.6413,5.7436,5.8583,5.9555,6.072,6.1986,6.3295,6.4746,6.6293,6.7785,6.9368,7.1133,7.2676,7.4512,7.6274,7.8157,8.0102,8.2095,8.4087,8.6229,8.8376,9.0634,9.2933,9.5227,9.7824,10.061,10.365,10.694,11.04,11.405,11.778,12.139,12.466,12.725,12.924,13.076,13.265,13.577,13.353,13.617
5,R/Ohm,0.26828,0.14379,0.049297,-0.038988,-0.11394,-0.19017,-0.25554,-0.31756,-0.3709,-0.42845,-0.48503,-0.53298,-0.5826,-0.63785,-0.6762,-0.73064,-0.7880199999999999,-0.84015,-0.8900399999999999,-0.94108,-0.98908,-1.0397,-1.083,-1.1291,-1.1693,-1.2106,-1.2528,-1.2918,-1.3285,-1.3676,-1.4004,-1.4398,-1.48,-1.5146,-1.5461,-1.5777,-1.5971,-1.6119999999999999,-1.6207,-1.6147,-1.5878,-1.5406,-1.4537,-1.3213,-1.1472,-0.94039,-0.71715,-0.50469,-0.33768000000000004,-0.21831,-0.14325,-0.07378,-0.05630900000000001,impedance,5.0096,5.0288,5.061,5.0979,5.1351,5.1756,5.2257,5.2801,5.3385,5.4031,5.4696,5.5514,5.6323,5.7199,5.8148,5.9107,6.0228,6.1432,6.2702,6.403,6.5424,6.6801,6.8497,7.0218,7.1697,7.3386,7.5223,7.7042,7.893,8.0811,8.2769,8.4823,8.6964,8.9124,9.135,9.3628,9.5843,9.8331,10.1,10.380999999999998,10.683,10.998,11.32,11.630999999999998,11.93,12.185,12.377,12.487,12.619000000000002,12.757,13.107,12.917,12.793
6,R/Ohm,0.45046,0.26611,0.14556,0.041568,-0.047024,-0.12323,-0.19118,-0.2566,-0.31191,-0.36922,-0.41909,-0.46952,-0.51682,-0.56388,-0.61185,-0.65713,-0.70428,-0.75041,-0.7941,-0.8386600000000001,-0.87856,-0.91716,-0.95457,-0.98876,-1.0258,-1.056,-1.0848,-1.1159999999999999,-1.1434,-1.1689,-1.1936,-1.2159,-1.2328,-1.2472,-1.2536,-1.2562,-1.2473,-1.2252,-1.1935,-1.1426,-1.0711,-0.98274,-0.8721899999999999,-0.73847,-0.59725,-0.46043,-0.33431,-0.23056,-0.15283,-0.097626,-0.054532,-0.036295,-0.012468,impedance,4.455,4.4838,4.5038,4.5294,4.5638,4.5969,4.6382,4.6845,4.7377,4.793,4.8545,4.9243,4.9943,5.0724,5.1557,5.2475,5.3458,5.4498,5.5628,5.6811,5.8079,5.9411,6.0797,6.2231,6.3703,6.5236,6.6812,6.85,7.0174,7.1882,7.3653,7.5465,7.7315,7.9233,8.1144,8.3113,8.511000000000001,8.7301,8.9595,9.193,9.4294,9.6586,9.8794,10.073,10.24,10.366,10.473,10.582,10.713,10.786,10.616,10.489,10.747
7,R/Ohm,0.285,0.16608,0.066277,-0.02637,-0.10446,-0.17351,-0.23829,-0.29778000000000004,-0.35238,-0.40696,-0.45644,-0.50653,-0.55411,-0.60245,-0.6524800000000001,-0.7014,-0.75084,-0.79989,-0.84826,-0.89565,-0.9416,-0.98569,-1.0281,-1.0688,-1.1098,-1.1474,-1.1846,-1.2212,-1.2565,-1.2911,-1.3247,-1.3579,-1.3880000000000001,-1.4172,-1.4412,-1.4625,-1.4778,-1.4815,-1.4758,-1.4524,-1.4056,-1.3392,-1.2374,-1.0979999999999999,-0.92986,-0.74543,-0.56161,-0.39178,-0.25914,-0.15735,-0.088548,-0.060276,-0.024212,impedance,4.747,4.7686,4.7911,4.8275,4.8613,4.8984,4.9442,4.9939,5.0512,5.1171,5.1827,5.2559,5.3316,5.4169,5.5092,5.612,5.7199,5.8354,5.9572,6.087000000000001,6.2252,6.3706,6.5223,6.6807,6.843999999999999,7.0126,7.187,7.3659,7.5516,7.7421,7.94,8.1421,8.352,8.5694,8.7884,9.0167,9.2675,9.5259,9.8051,10.097,10.408,10.734000000000002,11.065,11.38,11.681,11.92,12.125,12.265999999999998,12.371,12.257,11.97,12.038,12.298
8,R/Ohm,0.35069,0.21794,0.11487,0.020284,-0.06472,-0.13502,-0.20252,-0.26131,-0.31461,-0.36633,-0.41448,-0.45989,-0.5053,-0.54981,-0.5935,-0.63643,-0.67733,-0.7196100000000001,-0.76121,-0.7994600000000001,-0.836,-0.8707,-0.90373,-0.93569,-0.96516,-0.99215,-1.0188,-1.0419,-1.0647,-1.0841,-1.0992,-1.1109,-1.1176,-1.1168,-1.1081,-1.0921,-1.065,-1.0206,-0.96417,-0.89123,-0.80087,-0.7025399999999999,-0.59339,-0.47935,-0.37234,-0.27924,-0.19879,-0.13338,-0.08618300000000001,-0.052278,-0.029959,-0.024291,-0.0063737,impedance,4.2437,4.2593,4.2789,4.3059,4.3363,4.3735,4.4138,4.4607,4.5138,4.5683,4.6303,4.6987,4.7713,4.8494,4.9344,5.0251,5.122999999999999,5.2264,5.3372,5.4529,5.5758,5.7034,5.836,5.9765,6.1188,6.2641,6.4163,6.5725,6.7414,6.9063,7.0764,7.2504,7.4292,7.6109,7.7933,7.9753,8.1683,8.362,8.5527,8.7417,8.9207,9.0811,9.2254,9.3513,9.4651,9.5599,9.6382,9.7107,9.7638,9.6998,9.4831,9.5159,9.6282
