,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44,45,46,47,48,49,50,51,52,44.1,45.1,46.1,47.1,48.1,49.1,50.1,51.1,52.1
0,1,0.047597,-0.0065563999999999996,-0.068768,-0.12825999999999999,-0.12571,-0.24393,-0.26568,-0.32104,-0.33509,-0.36355,-0.40339,-0.45661,-0.45682,-0.47948,-0.5414399999999999,-0.5687800000000001,-0.5838899999999999,-0.62422,-0.62163,-0.6736300000000001,-0.69302,-0.73519,-0.77055,-0.77177,-0.7974899999999999,-0.80545,-0.80147,-0.80157,-0.77388,-0.74811,-0.70543,-0.65683,-0.6076,-0.54084,-0.47786999999999996,-0.41393,-0.3501,-0.28835,-0.2358,-0.18727,-0.14477,-0.10768,-0.080486,-0.057918,4.9208,4.9028,4.9307,4.9631,5.0205,5.0409,5.0811,5.1079,5.1785,5.2325,5.292999999999999,5.3669,5.4088,5.496,5.5502,5.6403,5.7327,5.8206,5.9255,6.0086,6.1202,6.2144,6.3363,6.4547,6.5866,6.7183,6.8535,6.9762,7.1118,7.2481,7.3686,7.4794,7.5779,7.6554,7.7261,7.7829999999999995,7.8296,7.8651,7.888,7.9041,7.9113,7.9147,7.9131,7.9137,,,,,,,,,,,,,,,,,,
1,1,0.11582,0.012426000000000001,-0.041814,-0.12696,-0.16229000000000002,-0.23169,-0.26764,-0.31040999999999996,-0.35091999999999995,-0.37796,-0.41541999999999996,-0.4595,-0.4802,-0.50885,-0.53963,-0.57625,-0.60378,-0.6221399999999999,-0.64964,-0.66589,-0.6903699999999999,-0.6915100000000001,-0.68521,-0.67948,-0.66061,-0.63361,-0.5941,-0.55616,-0.49853000000000003,-0.44561000000000006,-0.39907,-0.34889000000000003,-0.30372,-0.26402,-0.22421,-0.18884,-0.15506,-0.12767,-0.10605,-0.08467899999999999,-0.071653,-0.055133,-0.041475,-0.030643,4.5388,4.582,4.6057,4.656000000000001,4.6888,4.7465,4.7948,4.8332,4.8846,4.9596,5.0227,5.1019,5.1695,5.2694,5.3308,5.4255,5.5247,5.6191,5.7301,5.8173,5.9438,6.0352,6.167999999999999,6.2776,6.3855,6.4879999999999995,6.59,6.672999999999999,6.755,6.8155,6.8642,6.9044,6.9349,6.9372,6.9427,6.947,6.9497,6.9535,6.9599,6.9691,6.9834,7.0016,7.0244,7.0561,,,,,,,,,,,,,,,,,,
2,1,0.41172,0.26935,0.175,0.07998999999999999,0.0041757,-0.066242,-0.1206,-0.16677999999999998,-0.21644000000000002,-0.25495999999999996,-0.28773000000000004,-0.34571,-0.3629,-0.3899,-0.43295,-0.4507,-0.47136000000000006,-0.49937,-0.53259,-0.56357,-0.58144,-0.58382,-0.61737,-0.60755,-0.61939,-0.623,-0.60091,-0.5801,-0.54411,-0.50788,-0.46063000000000004,-0.42403,-0.37327,-0.33166,-0.28984,-0.25789,-0.22264,-0.19562000000000002,-0.16781,-0.13929,-0.11456,-0.096775,-0.07691,-0.059124,4.3416,4.3618,4.3788,4.4076,4.4277,4.468999999999999,4.5046,4.5459,4.5866,4.6368,4.6805,4.7438,4.8026,4.849,4.9207,4.9908,5.0657,5.1432,5.2242,5.3154,5.4066,5.4977,5.6009,5.7024,5.8179,5.9197,6.0332,6.1409,6.2457,6.3314,6.4048,6.4821,6.5409,6.5885,6.631,6.6665,6.7103,6.7233,6.7553,6.7965,6.8177,6.8331,6.8473,6.8562,,,,,,,,,,,,,,,,,,
3,1,0.042044,-0.058436,-0.099432,-0.15427000000000002,-0.20107,-0.23013000000000003,-0.29218,-0.34319,-0.36422,-0.39788,-0.43501000000000006,-0.46998,-0.5099100000000001,-0.5353100000000001,-0.55834,-0.5855199999999999,-0.6185,-0.63461,-0.65194,-0.6831699999999999,-0.7131,-0.70322,-0.72038,-0.71229,-0.69516,-0.66972,-0.63038,-0.58741,-0.5389,-0.48578999999999994,-0.43482,-0.38538,-0.34083,-0.29496,-0.25079,-0.21345999999999998,-0.17948,-0.14677,-0.12202,-0.097929,-0.075434,-0.055649000000000004,-0.043775,-0.031449,4.5418,4.5376,4.5995,4.6443,4.7044,4.7449,4.7905,4.838,4.8865,4.9418,5.0099,5.0747,5.149,5.2126,5.2976,5.3898,5.4741,5.5725,5.672000000000001,5.7709,5.8728,5.9954,6.1178,6.2311,6.3466,6.4658,6.5722,6.6691,6.7562,6.8329,6.9018,6.9527,6.9949,7.0145,7.0381,7.0571,7.0714,7.0838,7.0921,7.0994,7.1029,7.1067,7.1069,7.1079,,,,,,,,,,,,,,,,,,
4,1,0.7411,0.55586,0.37501,0.25046999999999997,0.12591,0.025223,-0.048146,-0.088785,-0.13752,-0.21882,-0.24989,-0.28306,-0.33705,-0.37848000000000004,-0.42546000000000006,-0.43875,-0.48053,-0.50248,-0.53252,-0.5658,-0.59917,-0.61859,-0.6732,-0.7053,-0.75488,-0.79787,-0.8404200000000001,-0.88612,-0.93601,-0.98083,-1.0243,-1.0669,-1.1084,-1.1389,-1.1605,-1.1748,-1.1673,-1.1442,-1.1019,-1.0311,-0.93115,-0.81179,-0.67578,-0.5372399999999999,4.0059,4.0258,4.073,4.0569,4.0802,4.095,4.1554,4.2451,4.237,4.283,4.3386,4.3808,4.4573,4.4915,4.5319,4.6152,4.6921,4.7612,4.8316,4.9079,4.9912,5.0692,5.1674,5.2574,5.3689,5.461,5.5801,5.7086,5.8346,5.977,6.1271,6.2865,6.4535,6.6413,6.827000000000001,7.0201,7.2085,7.4162,7.63,7.8422,8.0435,8.2196,8.3649,8.4727,,,,,,,,,,,,,,,,,,
5,1,0.13218,0.049992,-0.0073768,-0.11382,-0.17515999999999998,-0.24534,-0.30034,-0.36219,-0.38945,-0.43628,-0.47638,-0.53577,-0.5513,-0.59023,-0.6410600000000001,-0.65484,-0.68767,-0.73964,-0.76878,-0.8146100000000001,-0.8676299999999999,-0.91317,-0.9291,-0.99466,-1.031,-1.0725,-1.1031,-1.1318,-1.1419,-1.1414,-1.1296,-1.0922,-1.053,-0.9998299999999999,-0.9089299999999999,-0.82501,-0.7218,-0.61542,-0.5119,-0.41186999999999996,-0.3234,-0.24288,-0.18029,-0.12913,4.9786,4.9824,5.0055,5.0578,5.1025,5.1513,5.1752,5.2533,5.3338,5.4081,5.48,5.5694,5.6394,5.7074,5.8023,5.9228,6.0096,6.1160000000000005,6.1913,6.3387,6.484,6.5897,6.7289,6.8861,7.0555,7.2036,7.395,7.5764,7.7772,7.9618,8.1582,8.3546,8.5381,8.7489,8.8894,9.0587,9.1972,9.3148,9.4099,9.4805,9.527000000000001,9.5545,9.559,9.539,,,,,,,,,,,,,,,,,,
6,1,0.69643,0.49176000000000003,0.33905,0.19207,0.089486,-0.022299,-0.099251,-0.16882,-0.24693,-0.30614,-0.36114,-0.40928000000000003,-0.4396,-0.49238999999999994,-0.5336,-0.56842,-0.6118600000000001,-0.63958,-0.68558,-0.7328,-0.7610100000000001,-0.80847,-0.85056,-0.91404,-0.9440000000000001,-1.0197,-1.0609,-1.1217,-1.1933,-1.2433,-1.2941,-1.3496,-1.3929,-1.4277,-1.4498,-1.4558,-1.4182,-1.3868,-1.3254,-1.2286,-1.1021,-0.95624,-0.7952100000000001,-0.6361899999999999,4.9656,4.9808,5.0125,5.04,5.0698,5.0962,5.1601,5.2048,5.2568,5.3128,5.3718,5.4472,5.5175,5.59,5.6699,5.7482,5.8287,5.9366,6.0259,6.1160000000000005,6.2266,6.31,6.4454,6.5525,6.7015,6.8461,6.9937,7.1568,7.3169,7.5023,7.706,7.9124,8.1194,8.3458,8.5887,8.8322,9.0704,9.3311,9.583,9.8315,10.062000000000001,10.259,10.418,10.53,,,,,,,,,,,,,,,,,,
7,1,0.67181,0.48038000000000003,0.32286,0.18329,0.070109,-0.027175,-0.11095999999999999,-0.18579,-0.25205,-0.31423,-0.36629,-0.41435,-0.45856,-0.50063,-0.54156,-0.57963,-0.61778,-0.65661,-0.69438,-0.7358399999999999,-0.77905,-0.82384,-0.8730600000000001,-0.92591,-0.9829600000000001,-1.0453,-1.1129,-1.1886,-1.2643,-1.3453,-1.4295,-1.5152,-1.5984,-1.6768,-1.7431,-1.8006,-1.8314,-1.8435,-1.8264,-1.7663,-1.6587,-1.5029,-1.2992,-1.0696,4.9702,4.9904,5.0102,5.0419,5.0711,5.1059,5.1464,5.1939,5.2446,5.3038,5.3651,5.4313,5.5006,5.5749,5.6534,5.7379,5.8245,5.9144,6.0091,6.1085,6.2127,6.3233,6.438,6.5595,6.6886,6.8248,6.9715,7.127999999999999,7.2975,7.4819,7.6817,7.9005,8.138,8.3934,8.6678,8.9602,9.2715,9.6124,9.9747,10.355,10.735999999999999,11.102,11.431,11.703,,,,,,,,,,,,,,,,,,
8,1,0.026983,-0.045774,-0.10675,-0.16879,-0.22457,-0.26557,-0.30956,-0.35486,-0.39594,-0.43377,-0.46488999999999997,-0.49361000000000005,-0.53063,-0.55807,-0.60164,-0.63178,-0.6773600000000001,-0.71403,-0.74671,-0.79268,-0.8267700000000001,-0.8704,-0.8958200000000001,-0.92914,-0.95604,-0.97135,-0.9777299999999999,-0.9737399999999999,-0.9529700000000001,-0.9147,-0.86205,-0.80283,-0.74015,-0.6813,-0.58486,-0.5128,-0.43426000000000003,-0.35972,-0.29705,-0.23725,-0.18475,-0.13865999999999998,-0.10427,-0.075688,4.7643,4.7946,4.8225,4.8662,4.915,4.9592,5.032,5.0758,5.131,5.2006,5.2672,5.3489,5.4251,5.5184,5.587000000000001,5.6822,5.7698,5.8824,5.9935,6.1049,6.2159,6.3542,6.4975,6.6522,6.8106,6.9684,7.1417,7.3038,7.4788,7.6463,7.803,7.9478,8.0732,8.2003,8.307,8.4016,8.4766,8.5417,8.5949,8.639,8.6726,8.6988,8.7091,8.7033,,,,,,,,,,,,,,,,,,
