File............:  it-co-soec-8-120ma - MAY,12.2015

System..........:  
Control.........:  
Temperature.....:  -0.4+-0.5C
Time............:  MAY,12.2015
Comment.........:  14:17:44 - 14:47:55
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:   181
Columns: 3

Number     Time/s     Potential/V    Current/A 
1              0.0     1.3094e+00    1.2000e-01
2             10.0     1.3104e+00    1.2000e-01
3             20.0     1.3202e+00    1.2000e-01
4             30.0     1.3134e+00    1.2000e-01
5             40.0     1.3159e+00    1.2000e-01
6             50.0     1.3128e+00    1.2000e-01
7             60.0     1.3152e+00    1.2000e-01
8             70.0     1.3250e+00    1.2000e-01
9             80.0     1.3253e+00    1.2000e-01
10            90.0     1.3271e+00    1.2000e-01
11           100.0     1.3183e+00    1.2000e-01
12           110.0     1.3210e+00    1.2000e-01
13           120.0     1.3226e+00    1.2000e-01
14           130.0     1.3233e+00    1.2000e-01
15           140.0     1.3245e+00    1.2000e-01
16           150.0     1.3285e+00    1.2000e-01
17           160.0     1.3279e+00    1.2000e-01
18           170.0     1.3194e+00    1.2000e-01
19           180.0     1.3216e+00    1.2000e-01
20           190.0     1.3263e+00    1.2000e-01
21           200.0     1.3224e+00    1.2000e-01
22           210.0     1.3265e+00    1.2000e-01
23           220.0     1.3267e+00    1.2000e-01
24           230.0     1.3279e+00    1.2000e-01
25           240.0     1.3134e+00    1.2000e-01
26           250.0     1.3227e+00    1.2000e-01
27           260.0     1.3218e+00    1.2000e-01
28           270.0     1.3215e+00    1.2000e-01
29           280.0     1.3220e+00    1.2000e-01
30           290.0     1.3232e+00    1.2000e-01
31           300.0     1.3267e+00    1.2000e-01
32           310.0     1.3260e+00    1.2000e-01
33           320.0     1.3263e+00    1.2000e-01
34           330.0     1.3282e+00    1.2000e-01
35           340.0     1.3274e+00    1.2000e-01
36           350.0     1.3277e+00    1.2000e-01
37           360.0     1.3238e+00    1.2000e-01
38           370.0     1.3241e+00    1.2000e-01
39           380.0     1.3251e+00    1.2000e-01
40           390.0     1.3248e+00    1.2000e-01
41           400.0     1.3275e+00    1.2000e-01
42           410.0     1.3229e+00    1.2000e-01
43           420.0     1.3164e+00    1.2000e-01
44           430.0     1.3053e+00    1.2000e-01
45           440.0     1.3192e+00    1.2000e-01
46           450.0     1.3275e+00    1.2000e-01
47           460.0     1.3260e+00    1.2000e-01
48           470.0     1.3226e+00    1.2000e-01
49           480.0     1.3239e+00    1.2000e-01
50           490.0     1.3228e+00    1.2000e-01
51           500.0     1.3249e+00    1.2000e-01
52           510.0     1.3216e+00    1.2000e-01
53           520.0     1.3259e+00    1.2000e-01
54           530.0     1.3289e+00    1.2000e-01
55           540.0     1.3190e+00    1.2000e-01
56           550.0     1.3291e+00    1.2000e-01
57           560.0     1.3295e+00    1.2000e-01
58           570.0     1.3321e+00    1.2000e-01
59           580.0     1.3327e+00    1.2000e-01
60           590.0     1.3341e+00    1.2000e-01
61           600.0     1.3321e+00    1.2000e-01
62           610.0     1.3294e+00    1.2000e-01
63           620.0     1.3329e+00    1.2000e-01
64           630.0     1.3337e+00    1.2000e-01
65           640.0     1.3283e+00    1.2000e-01
66           650.0     1.3300e+00    1.2000e-01
67           660.0     1.3354e+00    1.2000e-01
68           670.0     1.3329e+00    1.2000e-01
69           680.0     1.3363e+00    1.2000e-01
70           690.0     1.3376e+00    1.2000e-01
71           700.0     1.3295e+00    1.2000e-01
72           710.0     1.3358e+00    1.2000e-01
73           720.0     1.3363e+00    1.2000e-01
74           730.0     1.3355e+00    1.2000e-01
75           740.0     1.3227e+00    1.2000e-01
76           750.0     1.3297e+00    1.2000e-01
77           760.0     1.3298e+00    1.2000e-01
78           770.0     1.3323e+00    1.2000e-01
79           780.0     1.3285e+00    1.2000e-01
80           790.0     1.3354e+00    1.2000e-01
81           800.0     1.3338e+00    1.2000e-01
82           810.0     1.3367e+00    1.2000e-01
83           820.0     1.3347e+00    1.2000e-01
84           830.0     1.3350e+00    1.2000e-01
85           840.0     1.3350e+00    1.2000e-01
86           850.0     1.3357e+00    1.2000e-01
87           860.0     1.3354e+00    1.2000e-01
88           870.0     1.3356e+00    1.2000e-01
89           880.0     1.3356e+00    1.2000e-01
90           890.0     1.3359e+00    1.2000e-01
91           900.0     1.3346e+00    1.2000e-01
92           910.0     1.3352e+00    1.2000e-01
93           920.0     1.3345e+00    1.2000e-01
94           930.0     1.3335e+00    1.2000e-01
95           940.0     1.3356e+00    1.2000e-01
96           950.0     1.3363e+00    1.2000e-01
97           960.0     1.3327e+00    1.2000e-01
98           970.0     1.3337e+00    1.2000e-01
99           980.0     1.3358e+00    1.2000e-01
100          990.0     1.3371e+00    1.2000e-01
101         1000.0     1.3377e+00    1.2000e-01
102         1010.0     1.3392e+00    1.2000e-01
103         1020.0     1.3377e+00    1.2000e-01
104         1030.0     1.3279e+00    1.2000e-01
105         1040.0     1.3378e+00    1.2000e-01
106         1050.0     1.3223e+00    1.2000e-01
107         1060.0     1.3271e+00    1.2000e-01
108         1070.0     1.3271e+00    1.2000e-01
109         1080.0     1.3297e+00    1.2000e-01
110         1090.0     1.3331e+00    1.2000e-01
111         1100.0     1.3323e+00    1.2000e-01
112         1110.0     1.3327e+00    1.2000e-01
113         1120.0     1.3356e+00    1.2000e-01
114         1130.0     1.3343e+00    1.2000e-01
115         1140.0     1.3345e+00    1.2000e-01
116         1150.0     1.3352e+00    1.2000e-01
117         1160.0     1.3186e+00    1.2000e-01
118         1170.0     1.3284e+00    1.2000e-01
119         1180.0     1.3266e+00    1.2000e-01
120         1190.0     1.3313e+00    1.2000e-01
121         1200.0     1.3357e+00    1.2000e-01
122         1210.0     1.3319e+00    1.2000e-01
123         1220.0     1.3278e+00    1.2000e-01
124         1230.0     1.3253e+00    1.2000e-01
125         1240.0     1.3291e+00    1.2000e-01
126         1250.0     1.3319e+00    1.2000e-01
127         1260.0     1.3309e+00    1.2000e-01
128         1270.0     1.3334e+00    1.2000e-01
129         1280.0     1.3333e+00    1.2000e-01
130         1290.0     1.3318e+00    1.2000e-01
131         1300.0     1.3293e+00    1.2000e-01
132         1310.0     1.3319e+00    1.2000e-01
133         1320.0     1.3360e+00    1.2000e-01
134         1330.0     1.3292e+00    1.2000e-01
135         1340.0     1.3262e+00    1.2000e-01
136         1350.0     1.3303e+00    1.2000e-01
137         1360.0     1.3330e+00    1.2000e-01
138         1370.0     1.3189e+00    1.2000e-01
139         1380.0     1.3352e+00    1.2000e-01
140         1390.0     1.3274e+00    1.2000e-01
141         1400.0     1.3340e+00    1.2000e-01
142         1410.0     1.3369e+00    1.2000e-01
143         1420.0     1.3393e+00    1.2000e-01
144         1430.0     1.3367e+00    1.2000e-01
145         1440.0     1.3373e+00    1.2000e-01
146         1450.0     1.3380e+00    1.2000e-01
147         1460.0     1.3372e+00    1.2000e-01
148         1470.0     1.3389e+00    1.2000e-01
149         1480.0     1.3382e+00    1.2000e-01
150         1490.0     1.3308e+00    1.2000e-01
151         1500.0     1.3340e+00    1.2000e-01
152         1510.0     1.3343e+00    1.2000e-01
153         1520.0     1.3350e+00    1.2000e-01
154         1530.0     1.3234e+00    1.2000e-01
155         1540.0     1.3299e+00    1.2000e-01
156         1550.0     1.3303e+00    1.2000e-01
157         1560.0     1.3313e+00    1.2000e-01
158         1570.0     1.3313e+00    1.2000e-01
159         1580.0     1.3323e+00    1.2000e-01
160         1590.0     1.3324e+00    1.2000e-01
161         1600.0     1.3344e+00    1.2000e-01
162         1610.0     1.3285e+00    1.2000e-01
163         1620.0     1.3068e+00    1.2000e-01
164         1630.0     1.3318e+00    1.2000e-01
165         1640.0     1.3199e+00    1.2000e-01
166         1650.0     1.3298e+00    1.2000e-01
167         1660.0     1.3286e+00    1.2000e-01
168         1670.0     1.3321e+00    1.2000e-01
169         1680.0     1.3240e+00    1.2000e-01
170         1690.0     1.3260e+00    1.2000e-01
171         1700.0     1.3302e+00    1.2000e-01
172         1710.0     1.3299e+00    1.2000e-01
173         1720.0     1.3317e+00    1.2000e-01
174         1730.0     1.3246e+00    1.2000e-01
175         1740.0     1.3350e+00    1.2000e-01
176         1750.0     1.3282e+00    1.2000e-01
177         1760.0     1.3315e+00    1.2000e-01
178         1770.0     1.3210e+00    1.2000e-01
179         1780.0     1.3226e+00    1.2000e-01
180         1790.0     1.3301e+00    1.2000e-01
181         1800.0     1.3153e+00    1.2000e-01

